Null (reference),Null (threshold),Full,Null (reference)_ave,Null (threshold)_ave,Full_ave
12037.0,11639.0,27746.0,12.0,11.7,27.8
12190.0,11863.0,27387.0,12.2,11.9,27.4
12163.0,12143.0,27722.0,12.2,12.2,27.7
11860.0,11725.0,28147.0,11.9,11.7,28.2
12950.0,11778.0,27499.0,13.0,11.8,27.5
11970.0,11864.0,27373.0,12.0,11.9,27.4
11440.0,12163.0,28772.0,11.5,12.2,28.8
11200.0,11707.0,27721.0,11.2,11.7,27.7
11506.0,12314.0,28141.0,11.5,12.3,28.2
11570.0,11843.0,27735.0,11.6,11.9,27.8
12312.0,12381.0,28369.0,12.3,12.4,28.4
11590.0,12040.0,27503.0,11.6,12.1,27.5
11368.0,12353.0,27964.0,11.4,12.4,28.0
13169.0,12321.0,28025.0,13.2,12.3,28.1
12882.0,12119.0,27204.0,12.9,12.1,27.2
12014.0,11916.0,27577.0,12.0,11.9,27.6
11822.0,12060.0,27738.0,11.8,12.1,27.8
12392.0,11933.0,28673.0,12.4,11.9,28.7
11146.0,11761.0,28741.0,11.2,11.8,28.8
12134.0,11810.0,28867.0,12.1,11.8,28.9
12297.0,11732.0,28259.0,12.3,11.7,28.3
12890.0,11948.0,28157.0,12.9,12.0,28.2
12340.0,12067.0,28583.0,12.4,12.1,28.6
13228.0,11645.0,27686.0,13.2,11.7,27.7
10910.0,11933.0,28025.0,10.9,11.9,28.1
11795.0,11769.0,28439.0,11.8,11.8,28.5
12651.0,12114.0,27291.0,12.7,12.1,27.3
12029.0,12121.0,27518.0,12.0,12.1,27.5
12626.0,12099.0,28126.0,12.6,12.1,28.2
11909.0,12172.0,27985.0,11.9,12.2,28.0
12143.0,12032.0,27762.0,12.2,12.0,27.8
12564.0,12141.0,28456.0,12.6,12.2,28.5
11662.0,11900.0,27963.0,11.7,11.9,28.0
11365.0,11877.0,28267.0,11.4,11.9,28.3
10718.0,11907.0,28195.0,10.7,11.9,28.2
11795.0,11831.0,28453.0,11.8,11.8,28.5
12332.0,11864.0,27151.0,12.3,11.9,27.2
12490.0,11919.0,27412.0,12.5,11.9,27.4
12622.0,11856.0,28867.0,12.6,11.9,28.9
12647.0,11964.0,28359.0,12.7,12.0,28.4
10648.0,11820.0,27927.0,10.7,11.8,28.0
11885.0,11828.0,27365.0,11.9,11.8,27.4
11491.0,11887.0,27913.0,11.5,11.9,27.9
11908.0,12068.0,27888.0,11.9,12.1,27.9
10764.0,11874.0,27392.0,10.8,11.9,27.4
11493.0,12183.0,26150.0,11.5,12.2,26.2
12979.0,11674.0,29027.0,13.0,11.7,29.1
12284.0,11961.0,28690.0,12.3,12.0,28.7
12041.0,11723.0,29085.0,12.1,11.7,29.1
11795.0,11904.0,27815.0,11.8,11.9,27.8
13292.0,12179.0,28150.0,13.3,12.2,28.2
13050.0,12473.0,27984.0,13.1,12.5,28.0
12637.0,11955.0,28009.0,12.6,12.0,28.0
12491.0,11876.0,28253.0,12.5,11.9,28.3
11673.0,11705.0,26964.0,11.7,11.7,27.0
11850.0,12001.0,27693.0,11.9,12.0,27.7
11621.0,12266.0,28652.0,11.6,12.3,28.7
12247.0,12057.0,28863.0,12.3,12.1,28.9
12310.0,11823.0,28618.0,12.3,11.8,28.6
11891.0,12240.0,28064.0,11.9,12.3,28.1
12533.0,12373.0,27916.0,12.5,12.4,27.9
12514.0,12262.0,28831.0,12.5,12.3,28.9
12516.0,12026.0,27840.0,12.5,12.0,27.9
12332.0,12318.0,27897.0,12.3,12.3,27.9
11428.0,12053.0,27620.0,11.4,12.1,27.6
13269.0,11874.0,27695.0,13.3,11.9,27.7
11680.0,12408.0,28416.0,11.7,12.4,28.4
12145.0,11436.0,28649.0,12.2,11.4,28.7
12183.0,12135.0,28089.0,12.2,12.1,28.1
12024.0,11912.0,28103.0,12.0,11.9,28.1
11762.0,12751.0,28032.0,11.8,12.8,28.1
11996.0,12242.0,27761.0,12.0,12.3,27.8
12888.0,12048.0,28381.0,12.9,12.1,28.4
12309.0,12136.0,28363.0,12.3,12.1,28.4
12494.0,11941.0,28327.0,12.5,12.0,28.4
11918.0,12015.0,27518.0,11.9,12.0,27.5
12253.0,11846.0,27591.0,12.3,11.9,27.6
11971.0,12019.0,27627.0,12.0,12.0,27.7
12968.0,11949.0,27088.0,13.0,12.0,27.1
12619.0,12040.0,28798.0,12.6,12.1,28.8
11759.0,12200.0,28335.0,11.8,12.2,28.4
12921.0,12347.0,29047.0,12.9,12.4,29.1
12399.0,12068.0,28372.0,12.4,12.1,28.4
11094.0,12101.0,28790.0,11.1,12.1,28.8
12413.0,12201.0,29172.0,12.4,12.2,29.2
11844.0,12598.0,27057.0,11.9,12.6,27.1
12484.0,11974.0,27567.0,12.5,12.0,27.6
12575.0,12112.0,29043.0,12.6,12.1,29.1
12650.0,11965.0,27448.0,12.7,12.0,27.5
11445.0,12344.0,28065.0,11.5,12.4,28.1
11910.0,12056.0,28370.0,11.9,12.1,28.4
12297.0,12425.0,27822.0,12.3,12.4,27.8
12040.0,11836.0,27619.0,12.1,11.8,27.6
12790.0,12126.0,28355.0,12.8,12.1,28.4
12773.0,11908.0,28501.0,12.8,11.9,28.5
11766.0,11953.0,28739.0,11.8,12.0,28.8
12410.0,12492.0,27887.0,12.4,12.5,27.9
12850.0,12169.0,28936.0,12.9,12.2,29.0
12472.0,12298.0,28195.0,12.5,12.3,28.2
12373.0,11857.0,28130.0,12.4,11.9,28.2
12249.0,12025.0,28023.0,12.3,12.0,28.1
12487.0,11996.0,27123.0,12.5,12.0,27.2
12279.0,12451.0,28585.0,12.3,12.5,28.6
12472.0,12036.0,27399.0,12.5,12.0,27.4
11248.0,11991.0,28319.0,11.3,12.0,28.3
12587.0,12173.0,28134.0,12.6,12.2,28.2
11554.0,11921.0,27927.0,11.6,11.9,28.0
12764.0,12040.0,28550.0,12.8,12.1,28.6
12998.0,12240.0,27616.0,13.0,12.3,27.6
12467.0,12152.0,27388.0,12.5,12.2,27.4
11778.0,12231.0,28364.0,11.8,12.2,28.4
12999.0,12346.0,27253.0,13.0,12.4,27.3
12347.0,12175.0,28674.0,12.4,12.2,28.7
12545.0,12468.0,27789.0,12.6,12.5,27.8
11635.0,12290.0,28212.0,11.6,12.3,28.2
12194.0,12007.0,28019.0,12.2,12.0,28.0
12738.0,11895.0,28095.0,12.8,11.9,28.1
11556.0,12271.0,28124.0,11.6,12.3,28.2
12605.0,12016.0,28317.0,12.6,12.0,28.3
12691.0,12346.0,27081.0,12.7,12.4,27.1
11827.0,12490.0,28456.0,11.8,12.5,28.5
11542.0,12194.0,27814.0,11.6,12.2,27.8
11861.0,12340.0,29124.0,11.9,12.4,29.2
12814.0,12235.0,28845.0,12.8,12.2,28.9
12377.0,12702.0,28715.0,12.4,12.7,28.7
12284.0,12513.0,27957.0,12.3,12.5,28.0
11571.0,12343.0,29243.0,11.6,12.4,29.3
11319.0,12482.0,28398.0,11.3,12.5,28.4
12009.0,11864.0,28226.0,12.0,11.9,28.3
12575.0,12455.0,27951.0,12.6,12.5,28.0
12349.0,11982.0,28172.0,12.4,12.0,28.2
12829.0,12076.0,27548.0,12.8,12.1,27.6
12485.0,12015.0,29193.0,12.5,12.0,29.2
12251.0,12208.0,28709.0,12.3,12.2,28.7
11940.0,12383.0,27719.0,12.0,12.4,27.7
12805.0,12674.0,28352.0,12.8,12.7,28.4
12487.0,12322.0,27944.0,12.5,12.3,28.0
12688.0,12066.0,28097.0,12.7,12.1,28.1
13003.0,12506.0,28404.0,13.0,12.5,28.4
11946.0,12458.0,28464.0,12.0,12.5,28.5
12245.0,11921.0,27494.0,12.3,11.9,27.5
12233.0,12175.0,28951.0,12.2,12.2,29.0
12761.0,12540.0,28022.0,12.8,12.6,28.1
12114.0,12089.0,27824.0,12.1,12.1,27.9
12971.0,12553.0,27690.0,13.0,12.6,27.7
12243.0,12199.0,28504.0,12.3,12.2,28.5
12282.0,11992.0,28881.0,12.3,12.0,28.9
12282.0,12324.0,28369.0,12.3,12.3,28.4
11208.0,12390.0,29574.0,11.2,12.4,29.6
12502.0,11912.0,28173.0,12.5,11.9,28.2
12277.0,12295.0,28205.0,12.3,12.3,28.2
11939.0,12375.0,27989.0,12.0,12.4,28.0
12024.0,12442.0,28393.0,12.0,12.5,28.4
12102.0,12169.0,28811.0,12.1,12.2,28.8
11594.0,12252.0,28495.0,11.6,12.3,28.5
11602.0,12261.0,28349.0,11.6,12.3,28.4
12129.0,12172.0,28249.0,12.1,12.2,28.3
13217.0,12224.0,27930.0,13.2,12.2,28.0
11886.0,12209.0,27663.0,11.9,12.2,27.7
13828.0,12143.0,27248.0,13.8,12.2,27.3
12032.0,12344.0,28070.0,12.0,12.4,28.1
11482.0,11991.0,28498.0,11.5,12.0,28.5
12495.0,12007.0,29056.0,12.5,12.0,29.1
11946.0,12194.0,28347.0,12.0,12.2,28.4
12516.0,12351.0,27598.0,12.5,12.4,27.6
11197.0,11818.0,27478.0,11.2,11.8,27.5
12563.0,12117.0,28325.0,12.6,12.1,28.4
12232.0,12452.0,28982.0,12.2,12.5,29.0
12725.0,12116.0,28223.0,12.7,12.1,28.3
12551.0,12221.0,29167.0,12.6,12.2,29.2
12346.0,12482.0,28924.0,12.4,12.5,29.0
12419.0,12523.0,28783.0,12.4,12.5,28.8
12723.0,12241.0,28740.0,12.7,12.3,28.8
12057.0,12135.0,28796.0,12.1,12.1,28.8
12423.0,12455.0,28137.0,12.4,12.5,28.2
12403.0,12285.0,27864.0,12.4,12.3,27.9
12779.0,12452.0,28363.0,12.8,12.5,28.4
12484.0,12174.0,28430.0,12.5,12.2,28.5
12634.0,12498.0,28427.0,12.6,12.5,28.5
12816.0,12340.0,28246.0,12.8,12.4,28.3
12626.0,12331.0,27794.0,12.6,12.3,27.8
12464.0,12077.0,28755.0,12.5,12.1,28.8
11780.0,12177.0,27860.0,11.8,12.2,27.9
12619.0,12432.0,27182.0,12.6,12.4,27.2
13232.0,12595.0,27375.0,13.2,12.6,27.4
12291.0,12165.0,28368.0,12.3,12.2,28.4
12264.0,12660.0,28070.0,12.3,12.7,28.1
12281.0,12313.0,28710.0,12.3,12.3,28.7
12693.0,12347.0,28274.0,12.7,12.4,28.3
13450.0,12112.0,27620.0,13.5,12.1,27.6
12305.0,12401.0,27535.0,12.3,12.4,27.6
13331.0,12232.0,28288.0,13.3,12.2,28.3
12067.0,12601.0,28429.0,12.1,12.6,28.5
12186.0,11823.0,28565.0,12.2,11.8,28.6
13769.0,12109.0,27643.0,13.8,12.1,27.7
12105.0,12507.0,28055.0,12.1,12.5,28.1
12515.0,12273.0,29298.0,12.5,12.3,29.3
12522.0,12237.0,28481.0,12.5,12.2,28.5
11845.0,12442.0,28828.0,11.9,12.5,28.9
11829.0,12516.0,28364.0,11.8,12.5,28.4
12068.0,12550.0,28098.0,12.1,12.6,28.1
12116.0,12301.0,27768.0,12.1,12.3,27.8
10740.0,9827.0,24727.0,10.8,9.8,24.8
10962.0,10016.0,24085.0,11.0,10.0,24.1
10673.0,9902.0,25066.0,10.7,9.9,25.1
10740.0,10192.0,24933.0,10.8,10.2,25.0
11046.0,10154.0,23964.0,11.1,10.2,24.0
10223.0,10417.0,24437.0,10.2,10.4,24.5
10795.0,10050.0,24225.0,10.8,10.1,24.2
10206.0,9984.0,24102.0,10.2,10.0,24.1
10134.0,9941.0,23722.0,10.1,10.0,23.7
10476.0,10684.0,24088.0,10.5,10.7,24.1
10253.0,10105.0,24021.0,10.3,10.1,24.0
11148.0,9837.0,23901.0,11.2,9.8,23.9
10441.0,9842.0,24285.0,10.5,9.9,24.3
10279.0,10180.0,24383.0,10.3,10.2,24.4
11483.0,10249.0,24815.0,11.5,10.3,24.8
9312.0,10139.0,25065.0,9.3,10.1,25.1
9735.0,10144.0,24157.0,9.7,10.2,24.2
10490.0,10060.0,24792.0,10.5,10.1,24.8
10295.0,10095.0,24524.0,10.3,10.1,24.5
10455.0,10196.0,25661.0,10.5,10.2,25.7
9301.0,10036.0,25508.0,9.3,10.0,25.5
9966.0,10144.0,24202.0,10.0,10.2,24.2
9623.0,9954.0,24947.0,9.6,10.0,25.0
10545.0,10295.0,24421.0,10.6,10.3,24.4
11348.0,10215.0,24770.0,11.4,10.2,24.8
9803.0,10274.0,25243.0,9.8,10.3,25.3
10718.0,10133.0,24914.0,10.7,10.1,24.9
9729.0,10386.0,24297.0,9.7,10.4,24.3
11539.0,10232.0,25349.0,11.6,10.2,25.4
11469.0,10426.0,24587.0,11.5,10.4,24.6
10856.0,10304.0,24480.0,10.9,10.3,24.5
10712.0,9987.0,24964.0,10.7,10.0,25.0
10522.0,10209.0,25232.0,10.5,10.2,25.3
11050.0,10478.0,24784.0,11.1,10.5,24.8
9880.0,9946.0,24796.0,9.9,10.0,24.8
10767.0,10070.0,25436.0,10.8,10.1,25.5
10127.0,10241.0,24868.0,10.1,10.3,24.9
10704.0,9892.0,24449.0,10.7,9.9,24.5
9303.0,10484.0,24098.0,9.3,10.5,24.1
10800.0,9958.0,23776.0,10.8,10.0,23.8
10068.0,9999.0,24974.0,10.1,10.0,25.0
11712.0,10482.0,24839.0,11.7,10.5,24.9
10298.0,10227.0,23879.0,10.3,10.2,23.9
10729.0,10106.0,25367.0,10.7,10.1,25.4
11186.0,10192.0,25328.0,11.2,10.2,25.4
10183.0,10191.0,26210.0,10.2,10.2,26.2
11349.0,10342.0,24757.0,11.4,10.4,24.8
10205.0,10228.0,24296.0,10.2,10.2,24.3
10430.0,10784.0,24731.0,10.4,10.8,24.8
9952.0,10281.0,24818.0,10.0,10.3,24.8
11183.0,10058.0,25257.0,11.2,10.1,25.3
11027.0,10308.0,25406.0,11.0,10.3,25.4
10899.0,10574.0,25640.0,10.9,10.6,25.7
10411.0,10281.0,25872.0,10.4,10.3,25.9
9559.0,10390.0,24941.0,9.6,10.4,25.0
10478.0,10010.0,25406.0,10.5,10.0,25.4
10672.0,10055.0,25125.0,10.7,10.1,25.2
11487.0,10575.0,25156.0,11.5,10.6,25.2
10545.0,10300.0,24725.0,10.6,10.3,24.7
10569.0,10310.0,25597.0,10.6,10.3,25.6
11613.0,10431.0,25919.0,11.6,10.4,25.9
10755.0,10443.0,24750.0,10.8,10.5,24.8
10902.0,10528.0,24841.0,10.9,10.5,24.9
11056.0,10167.0,25072.0,11.1,10.2,25.1
11522.0,10342.0,25731.0,11.5,10.4,25.8
9843.0,10258.0,25446.0,9.9,10.3,25.5
10689.0,10381.0,25595.0,10.7,10.4,25.6
10634.0,10622.0,25362.0,10.6,10.6,25.4
11125.0,10646.0,24802.0,11.1,10.7,24.8
10748.0,10359.0,26102.0,10.8,10.4,26.1
11019.0,10348.0,25187.0,11.0,10.4,25.2
11430.0,10489.0,25702.0,11.4,10.5,25.7
11349.0,10223.0,24753.0,11.4,10.2,24.8
11212.0,10801.0,24996.0,11.2,10.8,25.0
10446.0,10569.0,25233.0,10.5,10.6,25.3
10473.0,10484.0,25546.0,10.5,10.5,25.6
10467.0,10017.0,26202.0,10.5,10.0,26.2
11257.0,10329.0,25994.0,11.3,10.3,26.0
10552.0,10755.0,24781.0,10.6,10.8,24.8
10743.0,10460.0,26193.0,10.8,10.5,26.2
9883.0,10743.0,25440.0,9.9,10.8,25.5
11095.0,10153.0,25410.0,11.1,10.2,25.4
11008.0,10516.0,26029.0,11.0,10.5,26.1
10748.0,10527.0,24962.0,10.8,10.5,25.0
11107.0,10811.0,25428.0,11.1,10.8,25.5
10844.0,10499.0,25818.0,10.9,10.5,25.8
11824.0,10236.0,26159.0,11.8,10.2,26.2
10771.0,10822.0,25515.0,10.8,10.8,25.5
10659.0,10224.0,26027.0,10.7,10.2,26.1
11209.0,10620.0,25934.0,11.2,10.6,26.0
10959.0,10446.0,25204.0,11.0,10.5,25.2
10951.0,10349.0,25317.0,11.0,10.4,25.3
11005.0,10625.0,25294.0,11.0,10.6,25.3
10916.0,10680.0,25755.0,10.9,10.7,25.8
12025.0,10474.0,25022.0,12.0,10.5,25.0
10525.0,10357.0,26522.0,10.5,10.4,26.5
10457.0,10591.0,25921.0,10.5,10.6,25.9
10320.0,10382.0,25979.0,10.3,10.4,26.0
10256.0,10601.0,25863.0,10.3,10.6,25.9
10447.0,10387.0,24832.0,10.5,10.4,24.9
10835.0,9988.0,25327.0,10.8,10.0,25.4
11445.0,10746.0,25664.0,11.5,10.8,25.7
10231.0,10912.0,25240.0,10.2,10.9,25.3
10861.0,10744.0,25772.0,10.9,10.8,25.8
9878.0,10441.0,25985.0,9.9,10.5,26.0
10598.0,10640.0,25465.0,10.6,10.7,25.5
9702.0,10601.0,25411.0,9.7,10.6,25.4
9990.0,10745.0,25080.0,10.0,10.8,25.1
10542.0,10546.0,25564.0,10.6,10.6,25.6
11128.0,10423.0,25116.0,11.1,10.4,25.1
10702.0,10565.0,25308.0,10.7,10.6,25.3
10329.0,10321.0,25747.0,10.3,10.3,25.8
10722.0,10781.0,25718.0,10.7,10.8,25.7
10773.0,10620.0,25493.0,10.8,10.6,25.5
11392.0,10869.0,25185.0,11.4,10.9,25.2
10952.0,10469.0,25831.0,11.0,10.5,25.9
12363.0,10756.0,25958.0,12.4,10.8,26.0
10409.0,10754.0,26480.0,10.4,10.8,26.5
11253.0,10565.0,25826.0,11.3,10.6,25.9
11553.0,10328.0,25407.0,11.6,10.3,25.4
10242.0,10527.0,26036.0,10.3,10.5,26.1
10364.0,10480.0,25379.0,10.4,10.5,25.4
11661.0,10748.0,24803.0,11.7,10.8,24.8
11333.0,10670.0,26583.0,11.3,10.7,26.6
10807.0,10910.0,26727.0,10.8,10.9,26.8
10283.0,10613.0,26612.0,10.3,10.6,26.6
11412.0,10753.0,25105.0,11.4,10.8,25.1
11182.0,10324.0,25898.0,11.2,10.3,25.9
10422.0,11107.0,26234.0,10.4,11.1,26.3
11338.0,10586.0,26347.0,11.3,10.6,26.4
10210.0,10906.0,24913.0,10.2,10.9,24.9
12010.0,10405.0,25881.0,12.0,10.4,25.9
11098.0,10470.0,26099.0,11.1,10.5,26.1
11067.0,10920.0,26096.0,11.1,10.9,26.1
11155.0,10898.0,26674.0,11.2,10.9,26.7
10573.0,10816.0,26354.0,10.6,10.8,26.4
11331.0,10725.0,25662.0,11.3,10.7,25.7
11895.0,11222.0,25642.0,11.9,11.2,25.7
11201.0,11034.0,25537.0,11.2,11.0,25.6
11126.0,10776.0,25643.0,11.1,10.8,25.7
10625.0,10845.0,26623.0,10.6,10.9,26.6
10583.0,11071.0,25786.0,10.6,11.1,25.8
10867.0,10546.0,25411.0,10.9,10.6,25.4
10613.0,10913.0,26497.0,10.6,10.9,26.5
11768.0,10811.0,26115.0,11.8,10.8,26.1
11513.0,10802.0,25789.0,11.5,10.8,25.8
11431.0,10812.0,25593.0,11.4,10.8,25.6
10258.0,11175.0,26431.0,10.3,11.2,26.5
11881.0,10890.0,25430.0,11.9,10.9,25.5
10522.0,10970.0,26514.0,10.5,11.0,26.5
10532.0,10936.0,25879.0,10.5,10.9,25.9
11153.0,10909.0,26202.0,11.2,10.9,26.2
10197.0,10973.0,26280.0,10.2,11.0,26.3
10767.0,10843.0,26005.0,10.8,10.9,26.0
11158.0,10934.0,25066.0,11.2,10.9,25.1
11135.0,10803.0,25767.0,11.1,10.8,25.8
11209.0,11202.0,26286.0,11.2,11.2,26.3
11414.0,11079.0,25694.0,11.4,11.1,25.7
11128.0,10888.0,27263.0,11.1,10.9,27.3
11707.0,10758.0,25714.0,11.7,10.8,25.7
11315.0,10881.0,26506.0,11.3,10.9,26.5
10587.0,10754.0,26526.0,10.6,10.8,26.6
10312.0,10713.0,26342.0,10.3,10.7,26.4
10337.0,10758.0,26143.0,10.3,10.8,26.2
11467.0,11110.0,26045.0,11.5,11.1,26.1
10799.0,10805.0,26783.0,10.8,10.8,26.8
10892.0,10576.0,26353.0,10.9,10.6,26.4
12035.0,10842.0,25916.0,12.0,10.9,25.9
10853.0,10960.0,26556.0,10.9,11.0,26.6
10707.0,11062.0,25305.0,10.7,11.1,25.3
10826.0,10809.0,25762.0,10.8,10.8,25.8
10724.0,10906.0,26835.0,10.7,10.9,26.9
11773.0,10846.0,26571.0,11.8,10.9,26.6
11392.0,10840.0,27898.0,11.4,10.9,27.9
11856.0,11111.0,25958.0,11.9,11.1,26.0
11349.0,10767.0,26505.0,11.4,10.8,26.5
11211.0,10719.0,26909.0,11.2,10.7,26.9
11000.0,11280.0,25899.0,11.0,11.3,25.9
11869.0,10885.0,26026.0,11.9,10.9,26.1
10815.0,11314.0,26912.0,10.8,11.3,26.9
10794.0,11297.0,26143.0,10.8,11.3,26.2
11844.0,11249.0,26507.0,11.9,11.3,26.5
11693.0,11020.0,26383.0,11.7,11.0,26.4
10987.0,10683.0,27166.0,11.0,10.7,27.2
11755.0,11082.0,25765.0,11.8,11.1,25.8
11183.0,10833.0,27050.0,11.2,10.8,27.1
11320.0,10807.0,25699.0,11.3,10.8,25.7
11001.0,10951.0,27261.0,11.0,11.0,27.3
11236.0,10989.0,26876.0,11.2,11.0,26.9
10977.0,11086.0,27192.0,11.0,11.1,27.2
11151.0,11148.0,26000.0,11.2,11.2,26.0
11154.0,10535.0,26277.0,11.2,10.5,26.3
10876.0,10997.0,26232.0,10.9,11.0,26.3
11369.0,10902.0,27012.0,11.4,10.9,27.0
11184.0,11115.0,26859.0,11.2,11.1,26.9
11687.0,11022.0,26418.0,11.7,11.0,26.4
11388.0,10853.0,26539.0,11.4,10.9,26.6
11035.0,11008.0,26439.0,11.0,11.0,26.5
11018.0,11313.0,26688.0,11.0,11.3,26.7
11049.0,11094.0,26509.0,11.1,11.1,26.5
11257.0,11450.0,26796.0,11.3,11.5,26.8
11177.0,11174.0,26959.0,11.2,11.2,27.0
12015.0,10998.0,26407.0,12.0,11.0,26.4
11684.0,11214.0,26358.0,11.7,11.2,26.4
10904.0,11192.0,27591.0,10.9,11.2,27.6
11763.0,11025.0,26882.0,11.8,11.0,26.9
11643.0,11427.0,26941.0,11.7,11.4,27.0
11452.0,10952.0,26791.0,11.5,11.0,26.8
10402.0,11158.0,26576.0,10.4,11.2,26.6
11136.0,11447.0,27002.0,11.1,11.5,27.0
10826.0,10823.0,26496.0,10.8,10.8,26.5
11650.0,11300.0,25754.0,11.7,11.3,25.8
11561.0,11359.0,27575.0,11.6,11.4,27.6
11589.0,11177.0,27055.0,11.6,11.2,27.1
11491.0,11175.0,25216.0,11.5,11.2,25.2
11844.0,11326.0,26904.0,11.9,11.3,26.9
10959.0,11149.0,26888.0,11.0,11.2,26.9
11196.0,11575.0,27912.0,11.2,11.6,27.9
11531.0,10958.0,27224.0,11.5,11.0,27.3
10895.0,11118.0,27121.0,10.9,11.1,27.1
11517.0,10934.0,26434.0,11.5,10.9,26.5
11853.0,11098.0,26939.0,11.9,11.1,27.0
11508.0,11362.0,27448.0,11.5,11.4,27.5
11286.0,11005.0,26819.0,11.3,11.0,26.8
10988.0,11033.0,26778.0,11.0,11.0,26.8
12837.0,11217.0,26270.0,12.8,11.2,26.3
11578.0,11555.0,26924.0,11.6,11.6,27.0
11424.0,11196.0,26763.0,11.4,11.2,26.8
11549.0,11478.0,26093.0,11.6,11.5,26.1
11773.0,11346.0,26833.0,11.8,11.4,26.9
11472.0,11079.0,27796.0,11.5,11.1,27.8
10883.0,11070.0,26902.0,10.9,11.1,26.9
11329.0,11058.0,26969.0,11.3,11.1,27.0
11155.0,11307.0,26839.0,11.2,11.3,26.9
11389.0,11033.0,27018.0,11.4,11.0,27.0
11174.0,10957.0,26925.0,11.2,11.0,27.0
10925.0,11319.0,26074.0,10.9,11.3,26.1
11076.0,11570.0,27774.0,11.1,11.6,27.8
11710.0,11053.0,26861.0,11.7,11.1,26.9
11476.0,11029.0,26690.0,11.5,11.0,26.7
11405.0,11400.0,26899.0,11.4,11.4,26.9
11676.0,11517.0,26988.0,11.7,11.5,27.0
11251.0,11234.0,27461.0,11.3,11.2,27.5
11502.0,11271.0,27451.0,11.5,11.3,27.5
11382.0,11199.0,27351.0,11.4,11.2,27.4
12553.0,11412.0,27348.0,12.6,11.4,27.4
11602.0,11172.0,27365.0,11.6,11.2,27.4
12576.0,10923.0,26499.0,12.6,10.9,26.5
10638.0,11188.0,26954.0,10.6,11.2,27.0
11035.0,11215.0,27037.0,11.0,11.2,27.1
11834.0,11318.0,27516.0,11.8,11.3,27.5
10911.0,11340.0,27057.0,10.9,11.4,27.1
11684.0,11105.0,27536.0,11.7,11.1,27.6
11383.0,11197.0,27805.0,11.4,11.2,27.8
11491.0,11047.0,27079.0,11.5,11.1,27.1
11741.0,11325.0,26334.0,11.8,11.3,26.4
11237.0,11447.0,26883.0,11.2,11.5,26.9
12170.0,11094.0,26427.0,12.2,11.1,26.5
11660.0,11695.0,27513.0,11.7,11.7,27.5
11711.0,11130.0,26222.0,11.7,11.1,26.2
10998.0,11421.0,26041.0,11.0,11.4,26.1
11542.0,11552.0,26799.0,11.6,11.6,26.8
12084.0,11393.0,27672.0,12.1,11.4,27.7
11701.0,11510.0,26673.0,11.7,11.5,26.7
11758.0,11592.0,27061.0,11.8,11.6,27.1
11125.0,11429.0,26422.0,11.1,11.4,26.4
12397.0,11492.0,26463.0,12.4,11.5,26.5
12038.0,11786.0,27464.0,12.1,11.8,27.5
11555.0,11445.0,26826.0,11.6,11.5,26.9
11451.0,11803.0,27127.0,11.5,11.8,27.2
11565.0,11372.0,27418.0,11.6,11.4,27.4
12832.0,11535.0,27378.0,12.8,11.5,27.4
11040.0,11437.0,27427.0,11.1,11.4,27.5
12468.0,11487.0,27617.0,12.5,11.5,27.6
11549.0,11859.0,27814.0,11.6,11.9,27.8
11474.0,11848.0,27392.0,11.5,11.9,27.4
11194.0,11571.0,27744.0,11.2,11.6,27.8
11579.0,11861.0,27710.0,11.6,11.9,27.7
11922.0,11482.0,27371.0,11.9,11.5,27.4
10980.0,11230.0,28352.0,11.0,11.2,28.4
12006.0,11563.0,27996.0,12.0,11.6,28.0
11223.0,11117.0,27553.0,11.2,11.1,27.6
11177.0,11516.0,27035.0,11.2,11.5,27.1
11293.0,11263.0,27841.0,11.3,11.3,27.9
11489.0,11192.0,28038.0,11.5,11.2,28.1
12549.0,11368.0,26571.0,12.6,11.4,26.6
12771.0,11571.0,26896.0,12.8,11.6,26.9
11023.0,11450.0,26689.0,11.0,11.5,26.7
12510.0,11761.0,27300.0,12.5,11.8,27.3
11186.0,11593.0,27315.0,11.2,11.6,27.3
12203.0,11491.0,27113.0,12.2,11.5,27.1
11801.0,11853.0,27852.0,11.8,11.9,27.9
11753.0,11380.0,27983.0,11.8,11.4,28.0
11103.0,11249.0,26508.0,11.1,11.3,26.5
11454.0,11127.0,26947.0,11.5,11.1,27.0
11558.0,11529.0,27279.0,11.6,11.5,27.3
12752.0,11693.0,26832.0,12.8,11.7,26.9
11768.0,11469.0,28147.0,11.8,11.5,28.2
12313.0,11878.0,26713.0,12.3,11.9,26.7
12283.0,11554.0,28361.0,12.3,11.6,28.4
11982.0,11393.0,27398.0,12.0,11.4,27.4
12399.0,11304.0,26729.0,12.4,11.3,26.8
10858.0,11437.0,28663.0,10.9,11.4,28.7
12184.0,11467.0,26046.0,12.2,11.5,26.1
12136.0,11645.0,26577.0,12.1,11.7,26.6
11295.0,11784.0,28248.0,11.3,11.8,28.3
11632.0,11810.0,28277.0,11.6,11.8,28.3
12181.0,11724.0,27882.0,12.2,11.7,27.9
11443.0,11485.0,27969.0,11.5,11.5,28.0
11573.0,11745.0,26843.0,11.6,11.8,26.9
11780.0,11845.0,28393.0,11.8,11.9,28.4
11384.0,11664.0,27311.0,11.4,11.7,27.3
11262.0,11938.0,27226.0,11.3,11.9,27.3
11618.0,11366.0,27083.0,11.6,11.4,27.1
